日期,代码,名称,当前价,形态类型,偏离度%,成交额(亿)
2025-12-30,002766,索菱股份,5.68,回踩MA10阴线,0.04,3.12
2025-12-30,002378,章源钨业,14.64,回踩MA10阴线,0.07,13.52
2025-12-30,000801,四川九洲,17.11,回踩MA10阴线,-0.18,4.47
2025-12-30,000070,特发信息,12.14,回踩MA10阴线,0.26,5.92
2025-12-30,600515,海南机场,5.39,回踩MA5阴线,-0.3,22.61
2025-12-30,002204,大连重工,7.43,回踩MA10阴线,-0.31,4.22
2025-12-30,603703,盛洋科技,14.09,回踩MA10阴线,0.33,4.16
2025-12-30,000632,三木集团,6.08,回踩MA10阴线,0.36,4.45
2025-12-30,601611,中国核建,13.2,回踩MA5阴线,0.43,12.44
2025-12-30,603803,瑞斯康达,11.64,回踩MA10阴线,-0.43,3.05
2025-12-30,600237,铜峰电子,9.08,回踩MA10阴线,-0.49,4.15
2025-12-30,600468,百利电气,6.91,回踩MA10阴线,-0.59,3.6
2025-12-30,002446,盛路通信,10.17,回踩MA5阴线,0.59,9.68
2025-12-30,002639,雪人集团,19.4,回踩MA10阴线,-0.59,43.72
2025-12-30,002451,摩恩电气,10.07,回踩MA10阴线,-0.62,4.3
2025-12-30,603528,多伦科技,10.35,回踩MA10阴线,-0.64,3.56
2025-12-30,600475,华光环能,18.93,回踩MA5阴线,0.71,3.46
2025-12-30,002643,万润股份,15.26,回踩MA10阴线,0.75,5.68
2025-12-30,600776,东方通信,15.35,回踩MA10阴线,-0.85,6.03
2025-12-30,002255,海陆重工,12.68,回踩MA10阴线,0.92,9.5
2025-12-30,000532,华金资本,16.4,回踩MA5阴线,0.95,3.58
2025-12-30,600855,航天长峰,19.69,回踩MA10阴线,1.03,7.21
2025-12-30,002264,新 华 都,9.37,回踩MA10阴线,1.04,8.08
2025-12-30,603977,国泰集团,14.77,回踩MA5阴线,1.22,8.11
2025-12-30,002083,孚日股份,11.32,回踩MA10阴线,1.22,17.07
2025-12-30,002735,王子新材,16.58,回踩MA10阴线,-1.29,7.44
2025-12-30,601198,东兴证券,14.22,回踩MA10阴线,1.32,6.77
2025-12-30,000533,顺钠股份,8.59,回踩MA10阴线,-1.36,3.95
2025-12-30,600198,大唐电信,9.32,回踩MA10阴线,1.37,3.66
2025-12-30,000695,滨海能源,13.32,回踩MA5阴线,-1.44,4.04
2025-12-30,000955,欣龙控股,6.6,回踩MA5阴线,-1.46,3.84
2025-12-30,000759,中百集团,8.11,回踩MA10阴线,-1.6,9.85
2025-12-30,000566,海南海药,7.51,回踩MA10阴线,-1.64,16.79
2025-12-30,002596,海南瑞泽,5.62,回踩MA10阴线,-1.7,12.72
2025-12-30,002697,红旗连锁,6.07,回踩MA5阴线,-1.72,4.96
2025-12-30,601933,永辉超市,5.26,回踩MA5阴线,-1.72,35.08
2025-12-30,601179,中国西电,9.21,回踩MA10阴线,-1.74,15.52
2025-12-30,002909,集泰股份,6.98,回踩MA10阴线,-1.77,3.88
2025-12-30,600733,北汽蓝谷,7.99,回踩MA10阴线,-1.78,8.13
2025-12-30,600678,四川金顶,12.79,回踩MA5阴线,-1.84,6.39
2025-12-30,600271,航天信息,10.54,回踩MA10阴线,1.91,9.54
2025-12-30,000551,创元科技,15.27,回踩MA5阴线,-1.94,7.91
2025-12-30,002166,莱茵生物,8.75,回踩MA10阴线,-1.98,3.1
2025-12-30,002583,海能达,11.53,回踩MA5阴线,1.98,5.67
